start_date,end_date,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,spacing,levels
2025-12-10,2025-12-23,0.0,0.0,0.0,100.0,0.0,0.5,3
2025-12-24,2026-01-08,0.0,0.0,0.0,100.0,0.0,0.5,3
2026-01-09,2026-01-23,14.57,11.82,1.09,100.0,0.0,0.5,3
2026-01-26,2026-02-06,0.0,0.0,0.0,100.0,0.0,0.5,3
2026-02-09,2026-02-23,0.0,0.0,0.0,100.0,0.0,2.0,5
2026-02-24,2026-03-09,0.0,0.0,0.0,100.0,0.0,0.5,3
2026-03-10,2026-03-23,-24.77,-14.44,24.77,0.0,0.0,0.5,3
2026-03-24,2026-04-07,0.29,0.39,6.71,100.0,0.0,2.0,5
2026-04-08,2026-04-21,0.0,0.0,0.0,100.0,0.0,0.5,5
2026-04-22,2026-05-05,0.29,5.29,0.0,100.0,0.0,2.0,5
